Name,id,Description
Book of the Dead,545,"Creates a friendly Bony , Black Bony , or an orbital bone for each enemy killed in the current room. Creates a friendly Bony , Black Bony , Bone Fly , Revenant , or an orbital bone for each enemy killed in the current room."
Broken Shovel,550,"While held, causes Mom to continuously attempt to stomp on Isaac. Activating makes her stop for the current room or wave. One of two parts necessary to create Mom's Shovel ."
Brown Nugget,504,Spawns a stationary fly turret that lasts for the current room and fires tears at nearby enemies.
Clicker,482,Transforms Isaac into a random character and removes the last item collected.
Compost,480,"Doubles Isaac's Blue Flies and Blue Spiders , or spawns one if Isaac has none. Converts pickups in the current room into Blue Flies or Blue Spiders."
Coupon,521,"While held, guarantees one item in every Shop will be on sale. On use, makes a random item in the current room free."
Crooked Penny,485,"Spawns a penny and has a 50% chance to double all items and pickups in the room. If the effect fails, the items and pickups disappear."
D infinity,489,"Grants a random die item that changes each use. Acts as any die item, and can by cycled by pressing the drop key."
D1,476,"Duplicates a random pickup in the room. The new pickup may be different than the original (i.e. a different card, etc)."
Dataminer,481,"Displaces enemy sprites for the current room, randomly increases one stat and decreases another."
Delirious,510,Spawns Delirium as a random friendly boss that fights for Isaac.
Dull Razor,486,"Hurts Isaac without depleting health, activating any items that trigger upon taking damage."
Eden's Soul,490,Spawns two item pedestals then is consumed. Begins with no charges.
Mama Mega!,483,Damages all enemies and destroys all obstacles . The effect occurs every time a new room is entered for the rest of the floor. Opens the doors to the floor's Secret Rooms and Super Secret Rooms .
Metronome,488,Grants a random item effect for the current room.
Mom's Shovel,552,Creates a trapdoor that leads to the next floor. Unlocks The Forgotten when used on a mound of dirt that appears in Dark Room .
Moving Box,523,"If the box is empty, picks up items and pickups in a room and stores them. If the box is not empty, places all stored items and pickups in the current room. Can carry up to 10 items or pickups at once."
Mr. ME!,527,Summons a controllable ghost that can perform various tasks depending on what it targets.
Mystery Gift,515,"Spawns a random item from the current room's item pool, with a chance to spawn A Lump of Coal or The Poop instead."
Pause,478,Freezes all enemies until a fire button is pressed.
Plan C,475,"Kills all enemies in the room, then kills Isaac three seconds later."
Potato Peeler,487,"Removes a Heart Container , increases damage and range , and grants a Cube of Meat ."
Sacrificial Altar,536,Sacrifices up to 2 familiars and spawns an item for each familiar sacrificed. Converts all friendly spiders and flies into coins .
Sharp Straw,507,Damages all enemies in the room. Has a chance to drop a Half Red Heart or Half Soul Heart if an enemy is hit. Damages all enemies in the room. Has a chance to drop a Half Red Heart if an enemy is hit.
Smelter,479,Consumes Isaac's currently held trinket and applies its effect permanently.
Sprinkler,516,Creates a stationary sprinkler for the current room that rotates and fires tears in 8 directions. The tears copy Isaac's stats and most tear effects.
Telekinesis,522,Any enemy shots that come near Isaac for the next three seconds are held in place then fired back.
Void,477,"Consumes all pedestal items in the room. Active items will have their effects added to Void, and passive items will grant random stat upgrades."
Wait What?,484,"Isaac farts, sending out a circular rock wave that destroys obstacles and hurts enemies."
Abyss,706,Destroys all items in the room and gives Isaac a unique locust familiar for each item destroyed. Some items generate locusts with special effects.
Alabaster Box,585,"Spawns three Soul Hearts and two Angel Room items and is consumed. Starts with no charges, and can only be charged by picking up 6 Soul Hearts."
Anima Sola,722,"Chains down the nearest enemy for 5 seconds, preventing them from acting."
Bag of Crafting,710,"Collects and holds up to 8 pickups , which can then be used to craft an item. The power level of the item is based on the quality of pickups used."
Berserk!,704,"Isaac goes berserk for 5 seconds, greatly increasing his speed , tears , and damage , but restricting him to using a melee weapon instead of his tears. This item charges by dealing damage to enemies instead of clearing rooms."
Book of Virtues,584,Spawns a destroyable orbiting wisp familiar that fires tears and deals contact damage. Also acts as a passive item that causes other active items to spawn themed wisps.
Broken Glass Cannon,474,Begins with no charges and turns into Glass Cannon when used. Only acquired by taking damage while holding Glass Cannon.
Clear Rune,263,Has the same effect as the rune or soul stone currently held by Isaac. The charge time is based on the power of the rune.
Damocles,577,"Spawns a sword above Isaac's head, which doubles all item pedestals. After Isaac takes damage, the sword can randomly fall at any point, instantly killing him."
Dark Arts,705,"Briefly grants +1 speed and makes Isaac invulnerable and intangible. When the effect ends, destroys all projectiles and damages all enemies Isaac ran through."
Death Certificate,628,"Takes Isaac to an abandoned and expanded version of Home , which has one copy of every item in the game. After taking an item, Isaac returns to the room he used Death Certificate in."
Decap Attack,729,"Throws Isaac's head, which is still able to fire tears at the spot it lands. Reactivating the item or stepping on the head reattaches it."
Eraser,638,"Throws an eraser that instantly kills the first monster it hits, and prevents that monster from spawning for the rest of the run. Deals 15 damage to bosses, erasing that boss if fatal. Can only be used once per floor."
Esau Jr.,703,"Swaps between the current character and Esau Jr., who has +2 flat damage and flight . Characters have independent items and health. Dying as either character ends the run."
Eternal D6,609,Rerolls all items in the room. Each item has a 25% chance to disappear instead.
Everything Jar,720,"Spawns certain pickups based on how many charges it has. If fully charged, instead has one of many unique effects."
Flip,711,"Item pedestals have a second uninteractable ""ghostly"" item behind them. Activating will flip the real and ghostly items around. If playing as Tainted Lazarus , also flips between them and Dead Tainted Lazarus ."
Fortune Cookie,557,"Gives Isaac a fortune, Soul Heart , Card , Rune , or trinket , similar to a Fortune Telling Machine . Fortunes are much more likely to be given than anything else."
Free Lemonade,578,Creates a large pool of yellow creep beneath Isaac.
Friend Finder,687,Spawns a random friendly monster that mimics Isaac's movements and attacks.
Gello,728,"Spawns a demon familiar for the current room that's attached to Isaac and moves and fires in the direction Isaac shoots, using Isaac's damage , tears , range , shot speed , and special tear effects ."
Genesis,622,"Removes all of Isaac's items and pickups and takes him to a unique Bedroom with some pickups and Chests and a trapdoor to the next floor . For every item Isaac lost, he gets to take an item from a set of three."
Golden Razor,555,Spends five Pennies to increase Isaac's damage by 1.2 for the current room.
Hold,715,"Exclusive to Tainted ??? . Allows him to save one poop bomb for later, allowing him to gather more over time."
Jar of Wisps,685,"Spawns random wisps that shoot various tears, block shots, and deal contact damage. The number of wisps spawned increases every time the jar is used."
Keeper's Box,719,Spawns a random shop item or pickup which can be bought for its normal price.
Larynx,611,"Isaac shouts, damaging and pushing away nearby enemies. The shout gets stronger the more charges the item has. Larynx gains 1 charge whenever Isaac takes damage, in addition to charging normally."
Lemegeton,712,"Spawns a wisp representing a random passive item, which orbits Isaac but can be destroyed. While the wisp is alive, Isaac gains that item's effects. Generation uses the current room's item pool 25% of the time, otherwise a random pool."
Magic Skin,642,"Consumes one heart container or two Soul Hearts to spawn an item and give Isaac a broken heart container that can never be filled. If Magic Skin isn't being held after being used, it is very likely to replace any future items."
Meat Cleaver,631,Splits all enemies in the room into two smaller versions of themselves with much less health.
Mega Mush,625,"Gigantifies Isaac for 30 seconds, increasing damage and range while lowering tears , granting invulnerability, and allowing Isaac to crush enemies and obstacles he walks on. The effect persists between rooms."
Mom's Bracelet,604,"Lets Isaac pick up and throw rocks , TNT , Poops , friendly Dips , Bombs , and other obstacles ."
Plum Flute,650,Summons the boss Baby Plum to fight for Isaac in the current room.
R Key,636,"Brings Isaac back to the first floor of a new run, retaining all of his items."
Recall,714,Retrieves the Forgotten's body from any distance. Only available as the Birthright effect for Tainted Forgotten .
Red Key,580,"Creates a Red Room adjacent to a viable wall, indicated by the outline of a door. These rooms have a 10% chance to be a special room ."
Sharp Key,623,"Adds 5 Keys on pickup. Allows Isaac to throw his keys to deal damage to enemies, destroy obstacles , and open doors."
Spin to Win,655,Gives +0.5 speed and greatly increases the rotation speed and damage of orbitals for 3 seconds. Passively gives Isaac a spinning top orbital that blocks enemy shots and deals contact damage.
Spindown Dice,723,"Reduces the internal ID number of all items in the room by one, turning them into the item with that number."
Stitches,635,"Passively spawns a familiar that moves in the direction Isaac shoots. On use, Isaac swaps places with the familiar."
Sulfur,556,Grants Brimstone for the current room.
Sumptorium,713,"Removes half a heart and creates a Clot familiar that mimics Isaac's movements and tear effects. As Tainted Eve , passively converts health into Clots while firing. Activating returns all Clots to health."
Suplex!,709,"Isaac dashes forward and picks up the first enemy hit. After a moment, he slams them into the ground to deal damage and create a circular rock wave."
The Scooper,605,"Summons The Peeper for the current room, which leaves a trail of red creep ."
Urn of Souls,640,"Spews a stream of damaging flame. Gains Soul Charges each time an enemy dies, which are used to fuel the urn."
Vade Retro,653,"While held, enemies leave behind ghosts on death. Stronger enemies leave bigger ghosts. Using the item causes the ghosts to explode and damage nearby enemies, and instantly kills all ghost enemies with less than 50% HP."
Wavy Cap,582,"Increases fire rate , decreases speed , and distorts the screen. All effects become more pronounced with repeated use, and wear off by clearing rooms."
Yuck Heart,639,Gives Isaac a Rotten Heart .
